bin_lo,bin_hi,n_total,acc_overall,n_cls_1,acc_cls_1_road,n_cls_4,acc_cls_4_building,n_cls_6,acc_cls_6_vegetation,n_cls_2,acc_cls_2_sidewalk,n_cls_8,acc_cls_8_terrain,n_cls_7,acc_cls_7_vehicle,n_cls_3,acc_cls_3_parking,n_cls_5,acc_cls_5_fence
0.24438476562500006,0.25378417968750006,14072338,0.36246144741548986,2842096,0.022981982311646054,2680556,0.8404767518380515,3296153,0.46632908120466493,1803310,0.48233969755616063,2307151,0.08339029391660971,451926,0.3179148798697132,356896,0.037610396305926656,334250,0.07786686611817502
0.25378417968750006,0.26318359375000006,15184735,0.35344943458018857,3129568,0.023376069796214684,2756183,0.8288963396117022,3495125,0.45863280998533673,2052839,0.4745686339747053,2473317,0.09074534319701033,510771,0.31907449718171155,404110,0.039848061171463216,362822,0.07876589622459498
0.26318359375000006,0.27258300781250006,14838127,0.34557987001998297,3122475,0.023607554904362726,2571689,0.8181992457097261,3350044,0.4533603140734868,2110398,0.4687727149096995,2394832,0.09704104505034174,515888,0.31587282510932607,414794,0.04345530552515225,358007,0.07943699424871581
0.27258300781250006,0.28198242187500006,16029286,0.33721096497997477,3439109,0.024292047736782986,2641750,0.806748935364815,3546107,0.4476872807278517,2387899,0.46164682844626176,2573701,0.1029396965692596,579954,0.31487324856798987,467003,0.0455457459588054,393763,0.0806271792931281
0.28198242187500006,0.29138183593750006,16075842,0.3297226359900775,3526781,0.024828306605938957,2535155,0.7953296741224896,3488025,0.44151575748453636,2497841,0.45636731881653,2538789,0.10755285295469612,605314,0.31088327710907065,487622,0.048074122988708466,396315,0.08097599132003583
0.29138183593750006,0.30078125000000006,16220485,0.32116814016350315,3633047,0.024947654131642117,2448483,0.7831837100768109,3431147,0.43323442568913545,2634869,0.4471432925128346,2520681,0.1111334595690609,641404,0.31095845987864124,506926,0.048368006375684024,403928,0.08045740825097542
0.30078125000000006,0.31018066406250006,16499916,0.3142789939051811,3763707,0.02555778119816447,2392869,0.7726486489649036,3433699,0.42733419557159785,2769294,0.4401360057834235,2506610,0.11296651653029391,677328,0.30815498547232656,537638,0.05190295328827203,418771,0.08249138550663727
0.31018066406250006,0.31958007812500006,17021962,0.30662675665707634,3970981,0.02603588382820265,2374198,0.761144184267698,3470741,0.42056148816635985,2948142,0.4310094289895127,2524701,0.11462188987923719,726595,0.3066398750335469,568576,0.05323298908149482,438028,0.08241710575579643
0.31958007812500006,0.32897949218750006,16989650,0.29925189747875913,4046846,0.026284667121012264,2290289,0.7491093918715062,3390965,0.4136624825086664,3022290,0.42361553656333445,2458475,0.11455963554642613,752865,0.3049205368824424,585706,0.05424564542620359,442214,0.08176131918030637
0.32897949218750006,0.33837890625000006,16818925,0.2927015252163857,4086074,0.026728590818472696,2201717,0.7401891342075299,3284316,0.40701503752988444,3061367,0.414956455727131,2367760,0.1146552015406967,778866,0.3027735194500723,595298,0.05609795430187906,443527,0.08169062988273544
0.33837890625000006,0.34777832031250006,16863548,0.28602622650939175,4186431,0.027337605707582424,2148129,0.7285093213675715,3220739,0.40027242195036605,3132554,0.4058847828321555,2303853,0.11563237758659081,812722,0.30221896294181777,611314,0.05747619063198291,447806,0.08095693224298021
0.34777832031250006,0.35717773437500006,17231300,0.27895736247410235,4362715,0.02760207806377451,2128308,0.7175803502124692,3224223,0.39291295918427477,3258248,0.397156078972503,2277972,0.1153284588221453,873944,0.2983509240866692,639717,0.0588494599955918,466173,0.07973434754908586
0.35717773437500006,0.36657714843750006,16505056,0.27296205477885077,4262989,0.028170609870210785,1988891,0.7081836058386307,3031646,0.3859543627455184,3158351,0.38911254638892256,2111445,0.1152670327666598,877042,0.2971659281995617,624505,0.05957037974075468,450187,0.08090637890476624
0.36657714843750006,0.37597656250000006,16583998,0.2667889853821738,4372088,0.028708708516388508,1950032,0.6989664784988143,2980860,0.37916775695604626,3207011,0.3801296596737585,2047676,0.11537274451622229,926620,0.2959336081673178,640083,0.06134204470357751,459628,0.0801735316386295
0.37597656250000006,0.38537597656250006,16085393,0.2611972862584085,4322725,0.028875304350843508,1851509,0.6905227033733026,2835184,0.3741831218009131,3143971,0.37155877073929755,1908812,0.11492278967231975,945361,0.29254961861130296,629831,0.06033840823967064,448000,0.07845982142857143
0.38537597656250006,0.39477539062500006,15904029,0.25514170025721156,4354046,0.02957616892426033,1795198,0.6831118350176415,2742228,0.3649299037133309,3124405,0.3628117993665994,1819025,0.1146498811176317,983597,0.289469162675364,633955,0.062397173300944075,451575,0.07875325250512097
0.39477539062500006,0.40417480468750006,15112562,0.24981594781877486,4216981,0.029765132923292754,1670318,0.6745170680074094,2550908,0.35998789450658353,2987400,0.35414608020352145,1664324,0.11420432560006345,985201,0.28894712855549276,608569,0.06393523166641744,428861,0.07754727056085771
0.40417480468750006,0.41357421875000006,14734610,0.2444883848300023,4183984,0.030041223867012877,1598653,0.6692046366534826,2437499,0.3534007603695427,2920863,0.3445399527468423,1557758,0.1144330505765337,1012486,0.2866410004681546,600631,0.06333339438024345,422736,0.0772018470156315
0.41357421875000006,0.42297363281250006,14275410,0.23968404410101005,4117803,0.03043831868595948,1527466,0.6632409493893808,2318222,0.34393513649684976,2835932,0.33650806859967025,1446070,0.1156389386405914,1034941,0.2846693676257874,582730,0.06435398898289088,412246,0.0781087020856479
0.42297363281250006,0.43237304687500006,13762077,0.234755044605549,4038301,0.03049747901407052,1442287,0.6569524650780323,2187997,0.3386362047114324,2735623,0.32795089089395724,1333496,0.11581587046380341,1056158,0.2838154897278627,569837,0.06507825922149667,398378,0.07701730517247439
0.43237304687500006,0.44177246093750006,12594653,0.23051004263475938,3757248,0.03126543683036095,1302241,0.6521872679480987,1960984,0.33139638059260046,2503071,0.3210240540520025,1164970,0.11549310282668224,1021157,0.2806972874886036,522036,0.06431165666735628,362946,0.07784353595300679
0.44177246093750006,0.4511718750000001,12503494,0.2262917869197202,3794563,0.03161075465079905,1266798,0.6487261583930508,1910551,0.3254835908593908,2481937,0.3126288056465575,1098224,0.11609016011305526,1073015,0.2796177127067189,517388,0.06567798248123265,361018,0.0786608977945698
0.4511718750000001,0.4605712890625001,11226840,0.2227867325088805,3456729,0.031554686525903534,1123429,0.6449112493980483,1681407,0.3204203384427447,2209656,0.3061553472576727,943682,0.11671516464232655,1024297,0.2787999964853944,462369,0.06626525567241748,325271,0.07991182736856345
0.4605712890625001,0.4699707031250001,10908850,0.21854164279461172,3405653,0.03234768780025446,1070804,0.6439413748921371,1600968,0.3122648297779843,2140374,0.2976106045018301,872384,0.11687743012251485,1053777,0.2763402503565745,448610,0.06586790307839772,316280,0.07810168205387631
0.4699707031250001,0.4793701171875001,10507450,0.21484556195841997,3327516,0.032312692110270845,1024806,0.6376631284360161,1515358,0.3050341899405949,2033330,0.29064588630473165,797070,0.1166296561155231,1076090,0.2754444330864519,432423,0.06895794164510213,300857,0.08003137703294257
0.4793701171875001,0.4887695312500001,9971830,0.21174799409937795,3190990,0.03287318355745396,954050,0.6351239452858864,1412361,0.2977376180735662,1920866,0.2851635668495356,716053,0.11663382459119646,1086651,0.27411652867387964,407771,0.0696567436134497,283088,0.07988328717571921
0.4887695312500001,0.4981689453125001,8711443,0.20869309481793086,2818242,0.033013488550663855,820273,0.6350434550448448,1213611,0.291476428608508,1660505,0.27804794324618115,589269,0.1171672020757922,1009600,0.27212757527733755,353381,0.06966701661945605,246562,0.08204021706507897
