bin_lo,bin_hi,n_total,acc_overall,n_cls_6,acc_cls_6_vegetation,n_cls_1,acc_cls_1_road,n_cls_4,acc_cls_4_building,n_cls_2,acc_cls_2_sidewalk,n_cls_7,acc_cls_7_vehicle,n_cls_8,acc_cls_8_terrain,n_cls_3,acc_cls_3_parking,n_cls_5,acc_cls_5_fence
0.15323730468750002,0.16175048828125002,14690108,0.48031512089632017,5777864,0.5594146902730837,2710967,0.002851012203394582,3284860,0.9134310138027192,1128475,0.4176485965573008,315569,0.5251846664279445,1025759,0.17040844876818045,234503,0.014195980435218313,212111,0.0012823474501558146
0.16175048828125002,0.17026367187500002,14706035,0.47196365301728166,5785290,0.5555377517808096,2696238,0.003007152929377896,3159467,0.9063538248698277,1180334,0.41298903530695547,333679,0.5191995900251439,1092840,0.17413985578858754,242578,0.015269315436684283,215609,0.0015862046575050206
0.17026367187500002,0.17877685546875002,14687657,0.46331446874065757,5762903,0.5515478917483081,2692834,0.002962306625659064,3031397,0.9002123443415693,1233336,0.4070269577795507,347840,0.5134084636614535,1148511,0.1778006479694143,249795,0.016749734782521668,221041,0.0028682461624766446
0.17877685546875002,0.18729003906250002,14735854,0.45521155407755803,5765228,0.547784406791891,2695849,0.0030502450248511693,2924978,0.89320261554104,1285957,0.4018905764345153,370290,0.5077074725215371,1209790,0.18087023367691912,259472,0.017366035641610655,224290,0.0038967408266084086
0.18729003906250002,0.19580322265625003,14827629,0.4471199002888459,5785671,0.5429382348218555,2695193,0.00328510796814922,2833748,0.8854718203594674,1347569,0.394087427063104,387903,0.5022750532994074,1274623,0.1868364214359854,270709,0.019349190459127696,232213,0.0048662219600108525
0.19580322265625003,0.20431640625000003,14825719,0.44007707147289116,5749152,0.5396926364096827,2693621,0.0037633356734299295,2735404,0.8784406252239157,1397270,0.3912164434933835,404266,0.49478808507269967,1329375,0.19167729196050776,280134,0.02037596293202539,236497,0.006245322350812061
0.20431640625000003,0.21282958984375003,14948115,0.4327489452683499,5765172,0.5350973049893394,2702998,0.0035334839315456393,2656394,0.8719662821102593,1468382,0.3861822059927185,425041,0.48642836808684337,1396992,0.19758237699285322,289754,0.021725325621044057,243382,0.007745026337198314
0.21282958984375003,0.22134277343750003,14945496,0.4256982170414418,5714681,0.5318125368677622,2696606,0.0038552165203222123,2558426,0.8639659697016838,1527222,0.38112664694458304,441111,0.48385327049200766,1460933,0.2036876434442921,298743,0.022551156010350033,247774,0.010227061757892272
0.22134277343750003,0.22985595703125003,15205518,0.419307517178961,5770097,0.5269403616611644,2721127,0.003976293645978303,2521793,0.8559429739078505,1608057,0.3780916969983029,468338,0.4730536492874804,1546191,0.21073075706688243,313768,0.023597052599372784,256147,0.012430362252925079
0.22985595703125003,0.23836914062500003,15672745,0.41277076861775014,5902653,0.5230166841926842,2795666,0.0042530116258523015,2501105,0.8484893676994768,1711004,0.3733205766906448,499072,0.46384088868940754,1663924,0.21957673547589915,332144,0.025160773640348764,267177,0.015177204624649577
0.23836914062500003,0.24688232421875003,15619265,0.40568643915062585,5814770,0.518448193135756,2780080,0.004373974849644614,2396657,0.8402737646646975,1778061,0.36899802650190294,515433,0.45558782615781296,1724887,0.22671050335471252,338315,0.026295020912463236,271062,0.01839800488449137
0.24688232421875003,0.25539550781250003,16275569,0.4001068718396266,5992729,0.5147799942229992,2876711,0.004436316334869926,2407173,0.8329118846048872,1923825,0.3651579535560667,554331,0.44893394019096894,1870527,0.23638792703874362,361940,0.026308227883074544,288333,0.021693666697880577
0.25539550781250003,0.26390869140625006,15873288,0.39449955169968565,5772388,0.5109143737392566,2793432,0.00462764083750741,2261488,0.8268051831360591,1933956,0.3614384194883441,560710,0.4406038772270871,1902169,0.24536936518258892,362228,0.02792992259019181,286917,0.024968893443051476
0.26390869140625006,0.27242187500000004,16364254,0.3888012860225709,5875617,0.5069663322166846,2867396,0.004593366245889999,2242603,0.8177854038365239,2073981,0.358473872229302,596812,0.4338769997922294,2027913,0.2538151291500178,381672,0.028655494770378754,298260,0.028501978139877957
0.27242187500000004,0.28093505859375,17479909,0.3833157254994863,6207373,0.5024531311393725,3052989,0.004937783922575548,2295731,0.8114265129494701,2300238,0.3551154271862303,654979,0.4226914145339011,2224458,0.2636305113425383,418211,0.030130723486469748,325930,0.03306845028073513
0.28093505859375,0.28944824218750004,17226493,0.3779829707648562,6025489,0.49801700741632754,3014737,0.005053177109645053,2175116,0.8044918064140028,2364974,0.35299796107695053,664728,0.4197009904803168,2229859,0.2718306404126898,425462,0.032087471971644944,326128,0.03622504047490556
0.28944824218750004,0.29796142578125007,17506310,0.3722841649668034,6048725,0.4922839110721681,3064206,0.005328297118405225,2130020,0.7979972019042074,2499918,0.35038669268352,694734,0.4103081179271491,2285339,0.27723851909935465,444088,0.03323440399200159,339280,0.04190933742041971
0.29796142578125007,0.30647460937500004,18463308,0.36665141479522523,6314614,0.48735425474937977,3244178,0.005437432841231276,2166390,0.7904846311144346,2753773,0.3457852190431092,752696,0.40201621903132206,2387448,0.28232279823476786,480916,0.034028811684369,363293,0.04624366558122507
0.30647460937500004,0.31498779296875,18146140,0.3615669778806953,6124657,0.4835534463399338,3212345,0.005575677581330772,2046742,0.7832687265908453,2834047,0.34462413643810424,763556,0.3951222962035528,2312938,0.2869194937348083,485983,0.036791410399129185,365872,0.05056413171819653
0.31498779296875,0.32350097656250004,18510504,0.35665252550659887,6160476,0.4784427372170592,3294323,0.0058670628229229495,2023276,0.7751947831141179,3042077,0.34400904382104724,802869,0.38788146011366736,2292167,0.2910368223606744,512426,0.039289575470409385,382890,0.056057875630076526
0.32350097656250004,0.33201416015625007,18819884,0.35081725264619057,6188247,0.47295655781031365,3395802,0.006099295541966227,1985871,0.7696421368759602,3234394,0.3430135598816965,844573,0.37634047027314393,2236639,0.2924866283740917,537563,0.0397534800572212,396795,0.05947907609722905
0.33201416015625007,0.34052734375000004,18959332,0.3456769995904919,6130094,0.46822463081316534,3462485,0.006341110503005789,1946477,0.7614372016725602,3422285,0.34179152233084037,881297,0.3725804127325975,2146294,0.29410369688402427,557425,0.04101358927209939,412975,0.06613233246564562
0.34052734375000004,0.34904052734375,19023918,0.3391115857416963,6058675,0.46033811023037213,3512451,0.00655895270852177,1884967,0.7540222189566184,3598950,0.33974575917976074,919425,0.3633792859667727,2047065,0.29618404886996746,577987,0.04344388368596525,424398,0.06974820804999081
0.34904052734375,0.35755371093750005,19580627,0.33392582372362234,6134424,0.45507777095290447,3666680,0.00678161170323017,1886020,0.748253995185629,3868456,0.33947109647880186,982434,0.3582357695275204,1979816,0.2960861009305915,613994,0.04280660723068955,448803,0.07374727887291306
0.35755371093750005,0.3660668945312501,19475900,0.32800835904887576,5994476,0.44731416057049855,3697871,0.007193328269158118,1815693,0.7408047505828353,4016730,0.34001513669079075,1006584,0.35226170890854613,1858026,0.29634999725515143,629182,0.04550670553194465,457338,0.07780241309491011
0.3660668945312501,0.37458007812500005,19875801,0.32223229644933554,6008554,0.4414106954851367,3817125,0.007528178930477781,1799823,0.7342922054001977,4272206,0.3370343096751421,1064831,0.3447486032994907,1778362,0.29554612615429254,659337,0.04691076035471997,475563,0.08107443177875487
0.37458007812500005,0.38309326171875,20211574,0.3163536397511644,5977862,0.4354431400390307,3948896,0.00788473537920472,1775321,0.7270707663571827,4511478,0.33618738692729966,1121582,0.33915576391204566,1693239,0.29277733385540966,691626,0.049821724458016324,491570,0.08497874158309092
0.38309326171875,0.39160644531250005,19804747,0.31039114006354135,5745657,0.42683160515847013,3916301,0.008299157802222045,1687548,0.7217495443092582,4571120,0.3343110659969548,1134704,0.33320584046588364,1558015,0.29447405833705065,698827,0.05233054819003845,492575,0.08662640207075065
0.39160644531250005,0.4001196289062501,19201643,0.3044712892537373,5452726,0.42014599669963243,3842754,0.008536065540495175,1589413,0.7152237964581892,4572040,0.3313770220732977,1139861,0.3270846182122206,1422372,0.29277994786174083,694834,0.05510668735266265,487643,0.08856479022563638
0.4001196289062501,0.40863281250000005,20902625,0.29841352461712345,5809246,0.4122884450064604,4238973,0.008919613311997978,1684384,0.7089689761954518,5115904,0.328888696895016,1282952,0.32060903291783327,1455409,0.2908261526484995,775995,0.057539030534990564,539762,0.0903083210748441
0.40863281250000005,0.41714599609375,20144293,0.29308127120668864,5471657,0.4066832040093156,4146793,0.009417397974772312,1573367,0.7009674157396208,5061627,0.3275519906939014,1281787,0.31462325643808214,1320898,0.2894099317282636,765387,0.05879770625840261,522777,0.09228217767805393
0.41714599609375,0.42565917968750006,20096851,0.2875743567984855,5338963,0.3992614296072102,4181014,0.010170977662356548,1525994,0.6955125642695843,5183984,0.3245108395396282,1319887,0.30863172377635356,1237432,0.28757620620769464,780005,0.06272652098383985,529572,0.09332630879276095
0.42565917968750006,0.4341723632812501,19918379,0.2820999138534315,5178084,0.393309185405258,4207556,0.010449771791510321,1473786,0.6881378979037662,5232476,0.321753219699431,1351812,0.30332324317286724,1153101,0.28543813594819534,791321,0.06513538753552604,530243,0.09423038116486215
0.4341723632812501,0.44268554687500006,19606058,0.2769218065151087,4981158,0.38757272907223583,4192802,0.01079707555949458,1407800,0.6803104134109959,5247654,0.3193312668861171,1385518,0.2981267655851458,1070538,0.28421223721157024,797879,0.06722447889968279,522709,0.09388780373018257
0.44268554687500006,0.45119873046875003,20232468,0.27217643443202283,5020557,0.3810274437676935,4387757,0.01101473942153132,1417556,0.6779541690063744,5505364,0.31704098039657325,1479350,0.29466995639977017,1041507,0.28086609115445216,835350,0.07178787334650147,545027,0.09288530659948957
0.45119873046875003,0.45971191406250006,18743054,0.26706923001982497,4542711,0.37494042654265264,4118518,0.011618014052627669,1271427,0.6728062248166824,5180847,0.3141036591121104,1413182,0.290063841741545,913452,0.279414791362874,792338,0.0731518619579018,510579,0.09547004479228484
0.45971191406250006,0.4682250976562501,19180252,0.2625475410854873,4537869,0.36891853863564594,4280429,0.011962352371689846,1272356,0.6688411105068078,5352528,0.3117186869456825,1505587,0.28641984820538435,884244,0.27927698689501995,825736,0.07740851797668989,521503,0.09364279783625405
0.4682250976562501,0.47673828125000006,19259613,0.25736301139591955,4447960,0.3631347853847606,4370056,0.012442861144113485,1250257,0.6643786037590671,5415934,0.3074454009225371,1570946,0.2823973580250371,834340,0.27720713378239087,844218,0.07986918070924809,525902,0.09324170662975231
0.47673828125000006,0.48525146484375004,17680636,0.2526900616018564,3982702,0.3584435893019362,4074081,0.012717223835264935,1121712,0.6573621393013537,5006544,0.30484402014643236,1498704,0.27713010707918306,719042,0.2780087950356168,791390,0.08216176600664653,486461,0.09146056929538031
